"currency","identifier","mean_net_proportional","lower_net_proportional","upper_net_proportional","k"
"scaled_energy","bbs_rtrg_109_2",-0.129979672787067,-0.189762100683989,-0.0758948090497582,5
"abundance","bbs_rtrg_109_4",-0.409632076219764,-0.455700116594777,-0.355844745869771,5
"scaled_energy","bbs_rtrg_109_4",-0.331416644172597,-0.38073687452746,-0.277461341827255,5
"abundance","bbs_rtrg_109_45",0.6245986921159,0.525822100844165,0.728448172699491,5
"scaled_energy","bbs_rtrg_109_45",0.600968683881319,0.51084256420286,0.717399489024996,5
"abundance","bbs_rtrg_109_7",0.150245261104032,0.0906289388281882,0.219513587544204,5
"scaled_energy","bbs_rtrg_109_7",0.124077282752477,0.0632980073952659,0.178355238039168,5
"abundance","bbs_rtrg_109_76",0.107165735884345,0.0257606154730093,0.188673653691551,5
"scaled_energy","bbs_rtrg_109_76",0.458630715719217,0.359257696229729,0.56903329853357,5
"abundance","bbs_rtrg_109_79",-0.0975799718496942,-0.1873913880273,-0.00936241561843582,5
"scaled_energy","bbs_rtrg_109_79",-0.230445181519435,-0.309640434826179,-0.160535134219484,5
"abundance","bbs_rtrg_11_11",-0.0400271161638236,-0.0926487363847334,0.026500306082162,5
"scaled_energy","bbs_rtrg_11_11",-0.207849269543814,-0.25354444343195,-0.164024203452933,5
"abundance","bbs_rtrg_11_14",0.000112028822952503,-0.0545608285868436,0.057886801508258,5
"scaled_energy","bbs_rtrg_11_14",0.140135217763423,0.0829581295567802,0.213486316377727,5
"abundance","bbs_rtrg_11_2",0.242281772683699,0.145657611627074,0.352297213394023,5
"scaled_energy","bbs_rtrg_11_2",0.337566316020031,0.224060389760001,0.441918219045386,5
"abundance","bbs_rtrg_11_3",-0.392223834477161,-0.436096439646071,-0.339047519768468,5
"scaled_energy","bbs_rtrg_11_3",-0.451724496472038,-0.49206973060983,-0.41343468774726,5
"abundance","bbs_rtrg_11_4",0.526769664165631,0.427723017195387,0.633602804508913,5
"scaled_energy","bbs_rtrg_11_4",0.552587294406427,0.453571188672804,0.683104805740504,5
"abundance","bbs_rtrg_11_43",-0.143967391604584,-0.21512875901677,-0.0648296608476166,5
"scaled_energy","bbs_rtrg_11_43",-0.0886958274193451,-0.164383381819427,-0.0195894527301099,5
"abundance","bbs_rtrg_11_45",1.04399704710182,0.95268275333103,1.13814803971782,5
"scaled_energy","bbs_rtrg_11_45",0.505063311941297,0.442236198530265,0.58529601890737,5
"abundance","bbs_rtrg_11_57",-0.137390154253874,-0.210054824125119,-0.0448396283543502,5
"scaled_energy","bbs_rtrg_11_57",-0.174828673507602,-0.253905185349964,-0.0988905689555798,5
"abundance","bbs_rtrg_11_6",-0.105591286946959,-0.192613072566062,0.00866244556422907,5
"scaled_energy","bbs_rtrg_11_6",0.0557040975593548,-0.0605290834555449,0.175526798443008,5
"abundance","bbs_rtrg_11_65",-0.0870936508483721,-0.153756974640638,-0.0126591332790957,5
"scaled_energy","bbs_rtrg_11_65",-0.0664017818288853,-0.136198779459295,-0.00207534965986254,5
"abundance","bbs_rtrg_11_68",-0.279572758340671,-0.315002020691978,-0.244487948910188,5
"scaled_energy","bbs_rtrg_11_68",-0.152870920188633,-0.18708030680852,-0.114528226692029,5
"abundance","bbs_rtrg_11_7",0.397355687646538,0.276844950719172,0.5118586021285,5
"scaled_energy","bbs_rtrg_11_7",1.20051909298329,1.03706432294053,1.41420230018018,5
"abundance","bbs_rtrg_11_76",0.0455189333379142,-0.0350034182251137,0.135832555102401,5
"scaled_energy","bbs_rtrg_11_76",0.716948085292661,0.58729296685927,0.841054984580455,5
"abundance","bbs_rtrg_11_93",0.214369793774005,0.0920325433647977,0.346224234804436,5
"scaled_energy","bbs_rtrg_11_93",0.108496207537965,-0.00997621684479231,0.267149630447794,5
"abundance","bbs_rtrg_110_14",-0.39812407917962,-0.43358356140577,-0.354115145802283,5
"scaled_energy","bbs_rtrg_110_14",-0.28818331566943,-0.331710043315478,-0.248405341742678,5
"abundance","bbs_rtrg_110_4",-0.0697833223904151,-0.176587453572537,0.0221852661336828,5
"scaled_energy","bbs_rtrg_110_4",-0.138558503173967,-0.219482632438699,-0.020888211583274,5
"abundance","bbs_rtrg_111_14",-0.0418134690915788,-0.099595777451398,0.0200200649754686,5
"scaled_energy","bbs_rtrg_111_14",-0.0875553972714129,-0.142634059916952,-0.035646391623008,5
"abundance","bbs_rtrg_111_2",-0.277116473971118,-0.321738574448492,-0.235436940632701,5
"scaled_energy","bbs_rtrg_111_2",-0.272227534426415,-0.309240468006194,-0.221814991827181,5
"abundance","bbs_rtrg_111_4",-0.212398798199101,-0.284754801170294,-0.134470546591841,5
"scaled_energy","bbs_rtrg_111_4",0.00289358747688191,-0.0855834878438236,0.0851986762685573,5
"abundance","bbs_rtrg_111_45",-0.22363929614238,-0.266068198453145,-0.176348392763924,5
"scaled_energy","bbs_rtrg_111_45",-0.307922075198584,-0.349418804307395,-0.269903128817573,5
"abundance","bbs_rtrg_111_7",0.368522906022362,0.266535924639357,0.483720833367582,5
"scaled_energy","bbs_rtrg_111_7",0.249173011857196,0.147171237449187,0.338216131322434,5
"abundance","bbs_rtrg_111_79",0.619362483980573,0.506325491106539,0.730369443196696,5
"scaled_energy","bbs_rtrg_111_79",0.597890353144134,0.493185158601088,0.700452642739268,5
"abundance","bbs_rtrg_112_14",-0.476304793077281,-0.521919556138931,-0.424714140234835,5
"scaled_energy","bbs_rtrg_112_14",0.0758733069937017,-0.0150130741714545,0.197281427796494,5
"abundance","bbs_rtrg_112_4",0.27376933786785,0.153209842569119,0.385504223799489,5
"scaled_energy","bbs_rtrg_112_4",0.359041196869454,0.229878964485317,0.49058833548335,5
"abundance","bbs_rtrg_112_45",-0.217928095245418,-0.275465663121984,-0.154847349188708,5
"scaled_energy","bbs_rtrg_112_45",-0.144677767246845,-0.209877513978023,-0.086041295432031,5
"abundance","bbs_rtrg_112_7",-0.183630573509956,-0.269667281471992,-0.0966007665879905,5
"scaled_energy","bbs_rtrg_112_7",-0.2477075744068,-0.329183382837498,-0.173821919935208,5
"abundance","bbs_rtrg_112_76",-0.252740276195831,-0.321507890310122,-0.180182785413048,5
"scaled_energy","bbs_rtrg_112_76",-0.403028666464936,-0.467609768519166,-0.34391913100258,5
"abundance","bbs_rtrg_112_79",0.448153415704409,0.349910754647951,0.558810726619922,5
"scaled_energy","bbs_rtrg_112_79",0.434038026456096,0.330859931186715,0.525954030277979,5
"abundance","bbs_rtrg_112_93",-0.397773758757176,-0.479850632006521,-0.293904462876425,5
"scaled_energy","bbs_rtrg_112_93",-0.222086774304224,-0.329231239616608,-0.124061496276527,5
"abundance","bbs_rtrg_113_25",-0.270950041264406,-0.329155472817913,-0.203697687353349,5
"scaled_energy","bbs_rtrg_113_25",-0.159404896583495,-0.221574931290486,-0.102302617321909,5
"abundance","bbs_rtrg_113_4",-0.184178498874628,-0.239754329431765,-0.124574041115183,5
"scaled_energy","bbs_rtrg_113_4",-0.102706355932735,-0.163981250621233,-0.0483950291077252,5
"abundance","bbs_rtrg_113_45",-0.19196597912653,-0.234067228708307,-0.147764195942722,5
"scaled_energy","bbs_rtrg_113_45",0.110593491539947,0.0563201479938064,0.178270083493533,5
"abundance","bbs_rtrg_113_68",-0.354134891710082,-0.3880940169541,-0.319446809567378,5
"scaled_energy","bbs_rtrg_113_68",0.0568717155420288,0.0106607178338001,0.107848081379632,5
"abundance","bbs_rtrg_113_76",-0.14119032826787,-0.202981432006257,-0.0756245784281456,5
"scaled_energy","bbs_rtrg_113_76",0.201161077826574,0.109708680977238,0.283395381543174,5
"abundance","bbs_rtrg_113_79",1.72657790476467,1.51915871372397,1.93186529421832,5
"scaled_energy","bbs_rtrg_113_79",1.26599062179558,1.10044659610256,1.42785353500327,5
"abundance","bbs_rtrg_114_14",0.323175612689857,0.252010119561208,0.395261022807097,5
"scaled_energy","bbs_rtrg_114_14",0.485749812809097,0.408533542913095,0.559202978261373,5
"abundance","bbs_rtrg_114_4",5.13553336317014,4.78291223777371,5.53483558772648,5
"scaled_energy","bbs_rtrg_114_4",3.58284759130404,3.37097078022553,3.79645748247357,5
