"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"scaled_energy","bbs_rtrg_1_11",11,-0.00459590028845382,0.0513679999117002,5
"scaled_energy","bbs_rtrg_1_11",12,-0.00641832627506507,0.057779837016902,5
"scaled_energy","bbs_rtrg_1_11",13,-0.00307918980283957,0.0552438933751791,5
"scaled_energy","bbs_rtrg_1_11",14,-0.00397796546171105,0.0589422654092629,5
"scaled_energy","bbs_rtrg_1_11",15,-0.00446086013555539,0.0506117253350248,5
"scaled_energy","bbs_rtrg_1_11",16,-0.00299144075013133,0.0563611404415943,5
"scaled_energy","bbs_rtrg_1_11",17,-0.00136797444905105,0.0535614969208203,5
"scaled_energy","bbs_rtrg_1_11",18,-0.00460354353289029,0.0506765370121094,5
"scaled_energy","bbs_rtrg_1_11",19,-0.00323385620563652,0.0506499351164181,5
"scaled_energy","bbs_rtrg_1_11",20,-0.0063072144896503,0.0468857855028928,5
"scaled_energy","bbs_rtrg_1_11",21,-0.00470257893922069,0.0547577829343333,5
"scaled_energy","bbs_rtrg_1_11",22,-0.00594783841417063,0.041512955982407,5
"scaled_energy","bbs_rtrg_1_11",23,-0.0046876582144032,0.0443017133224953,5
"scaled_energy","bbs_rtrg_1_11",24,-0.00271701961018376,0.058596547950076,5
"scaled_energy","bbs_rtrg_1_11",25,-0.00413514655568152,0.050468830309997,5
"scaled_energy","bbs_rtrg_1_11",26,-0.00556328914558979,0.0571327894078757,5
"scaled_energy","bbs_rtrg_1_11",27,-0.0020620552349728,0.0471004708345304,5
"scaled_energy","bbs_rtrg_1_11",28,-9.25980404684828e-05,0.055669352697805,5
"scaled_energy","bbs_rtrg_1_11",29,-0.00402829756985644,0.0507272580259963,5
"scaled_energy","bbs_rtrg_1_11",30,-0.00166166176209361,0.050205831496861,5
"scaled_energy","bbs_rtrg_1_11",31,-0.00264841879475457,0.0463925556296273,5
"scaled_energy","bbs_rtrg_1_11",32,-0.00094317286280121,0.0548381478969484,5
"scaled_energy","bbs_rtrg_1_11",33,-0.00117839857114563,0.053925649735053,5
"scaled_energy","bbs_rtrg_1_11",34,-0.00565349444481374,0.0524456244171718,5
"scaled_energy","bbs_rtrg_1_11",35,-0.00264146483951445,0.0546399827972943,5
"scaled_energy","bbs_rtrg_1_11",36,-0.00469804437117956,0.0547720576957989,5
"scaled_energy","bbs_rtrg_1_11",37,-0.000175403161335933,0.0519988484609441,5
"scaled_energy","bbs_rtrg_1_11",38,-0.0066460863286243,0.0478808534347234,5
"scaled_energy","bbs_rtrg_1_11",39,-0.00367025065875354,0.0541625436219242,5
"scaled_energy","bbs_rtrg_1_11",40,-0.000586154625341871,0.0578265692721897,5
"scaled_energy","bbs_rtrg_1_11",41,-0.00465561675744251,0.0478548096211369,5
"scaled_energy","bbs_rtrg_1_11",42,-0.0065136827509768,0.0519088992661335,5
"scaled_energy","bbs_rtrg_1_11",43,-0.0033443184191116,0.0550448234359571,5
"scaled_energy","bbs_rtrg_1_11",44,-0.00581763574899487,0.0496055847285262,5
"scaled_energy","bbs_rtrg_1_11",45,-0.0056342648854843,0.0495167814860101,5
"scaled_energy","bbs_rtrg_1_11",46,-0.00352496700069344,0.0524551599742796,5
"scaled_energy","bbs_rtrg_1_11",47,-0.00373142078356617,0.0473953698648652,5
"scaled_energy","bbs_rtrg_1_11",48,-0.00231705299063525,0.0530049491195052,5
"scaled_energy","bbs_rtrg_1_11",49,-0.00317356278280775,0.0525179510855318,5
