"draw","start","end","net_change","net_proportional","currency","identifier","k"
32,829.087718488455,489.7904529427,-339.297265545755,-0.409241697807732,"abundance","bbs_rtrg_1_11",5
33,778.475046993101,472.365388271805,-306.109658721296,-0.393217046459819,"abundance","bbs_rtrg_1_11",5
34,773.172667521091,463.812081439344,-309.360586081747,-0.400118368221169,"abundance","bbs_rtrg_1_11",5
35,805.92433327449,480.409262820932,-325.515070453557,-0.403902769793514,"abundance","bbs_rtrg_1_11",5
36,813.561109807232,483.909113077467,-329.651996729765,-0.405196355572938,"abundance","bbs_rtrg_1_11",5
37,841.848749038796,469.603475200705,-372.245273838092,-0.442175954128474,"abundance","bbs_rtrg_1_11",5
38,774.854578081507,452.253288858619,-322.601289222888,-0.41633785015716,"abundance","bbs_rtrg_1_11",5
39,778.083173845241,451.176952321143,-326.906221524098,-0.420143029065321,"abundance","bbs_rtrg_1_11",5
40,804.08607053477,475.076223402661,-329.009847132109,-0.40917242467998,"abundance","bbs_rtrg_1_11",5
41,824.953823734777,466.321712796671,-358.632110938106,-0.434729921384553,"abundance","bbs_rtrg_1_11",5
42,818.717510481876,486.602924328741,-332.114586153135,-0.405652232792311,"abundance","bbs_rtrg_1_11",5
43,791.032595458092,491.0041678434,-300.028427614692,-0.379287060150719,"abundance","bbs_rtrg_1_11",5
44,768.582219189595,484.80173511241,-283.780484077185,-0.369225929239435,"abundance","bbs_rtrg_1_11",5
45,836.273983247031,477.454957589348,-358.819025657682,-0.429068741639532,"abundance","bbs_rtrg_1_11",5
46,806.371943403064,477.376014067869,-328.995929335195,-0.40799525830073,"abundance","bbs_rtrg_1_11",5
47,780.117499204963,453.413999139686,-326.703500065277,-0.418787554949388,"abundance","bbs_rtrg_1_11",5
48,787.610119982256,451.144827491647,-336.465292490609,-0.427197777116157,"abundance","bbs_rtrg_1_11",5
49,798.840824609401,425.549436585272,-373.291388024128,-0.467291325786526,"abundance","bbs_rtrg_1_11",5
50,801.505241283107,451.140951683278,-350.364289599829,-0.437132873939715,"abundance","bbs_rtrg_1_11",5
51,817.565648478468,460.729446400797,-356.836202077671,-0.436461833666521,"abundance","bbs_rtrg_1_11",5
52,808.917963722358,460.090217887118,-348.82774583524,-0.431227592264185,"abundance","bbs_rtrg_1_11",5
53,833.540762089788,482.064125703363,-351.476636386425,-0.42166700462882,"abundance","bbs_rtrg_1_11",5
54,800.589645076103,456.877673977929,-343.711971098175,-0.429323528242114,"abundance","bbs_rtrg_1_11",5
55,811.843026480996,463.858192365878,-347.984834115118,-0.428635613984995,"abundance","bbs_rtrg_1_11",5
56,782.907911874849,455.210595396201,-327.697316478648,-0.418564318367793,"abundance","bbs_rtrg_1_11",5
57,809.080326547837,495.300699154772,-313.779627393065,-0.387822589546692,"abundance","bbs_rtrg_1_11",5
58,808.313523339506,461.133944702118,-347.179578637388,-0.429511035771161,"abundance","bbs_rtrg_1_11",5
59,809.663796597785,442.212642847515,-367.451153750269,-0.453831769796677,"abundance","bbs_rtrg_1_11",5
60,823.811614053801,486.900443895659,-336.911170158142,-0.408966278710583,"abundance","bbs_rtrg_1_11",5
61,784.417898793615,469.640459698216,-314.777439095399,-0.401287935397072,"abundance","bbs_rtrg_1_11",5
62,798.777107790322,467.709426625065,-331.067681165257,-0.414468163817436,"abundance","bbs_rtrg_1_11",5
63,819.20101802668,488.816540607555,-330.384477419125,-0.403300862851668,"abundance","bbs_rtrg_1_11",5
64,794.136671128467,473.633295616611,-320.503375511856,-0.403587174807607,"abundance","bbs_rtrg_1_11",5
65,788.342119463122,496.026508059995,-292.315611403127,-0.370797911447634,"abundance","bbs_rtrg_1_11",5
66,810.910184999164,464.722558224812,-346.187626774351,-0.426912416662652,"abundance","bbs_rtrg_1_11",5
67,776.178155453937,464.59237931412,-311.585776139817,-0.401435899671243,"abundance","bbs_rtrg_1_11",5
68,806.6349806067,477.657328935982,-328.977651670718,-0.407839555164446,"abundance","bbs_rtrg_1_11",5
69,797.410072823269,460.399156502053,-337.010916321216,-0.422631877633565,"abundance","bbs_rtrg_1_11",5
70,814.704572157872,489.718645978906,-324.985926178967,-0.398900334287054,"abundance","bbs_rtrg_1_11",5
71,805.686479735536,463.866576244309,-341.819903491227,-0.424259202665817,"abundance","bbs_rtrg_1_11",5
72,777.940012183366,477.59382878192,-300.346183401446,-0.386078847594552,"abundance","bbs_rtrg_1_11",5
73,808.928733995549,468.976843660224,-339.951890335324,-0.420249493000696,"abundance","bbs_rtrg_1_11",5
74,811.486848481178,473.695653173362,-337.791195307816,-0.416262069976912,"abundance","bbs_rtrg_1_11",5
