"year","richness","abundance","biomass","energy","mean_energy","mean_mass","site_name","time","scaled_energy"
1975,55,1041,88252.7543489495,219536.207873405,210.889728985019,84.7769013918823,"tilden",NA,971.370802618377
1976,51,905,57441.176696473,165497.496429839,182.870161800927,63.4709134767657,"tilden",NA,732.268437610466
1977,54,1051,61878.1048578888,180907.158287795,172.128599702945,58.8754565726821,"tilden",NA,800.450792366598
1978,57,909,61431.3073235983,168146.40069866,184.979538722399,67.5811961755757,"tilden",NA,743.988910923678
1979,50,811,57193.4147693456,151839.694749259,187.225270960862,70.522089727923,"tilden",NA,671.837450353376
1980,48,762,54716.9837383875,151075.774656641,198.262171465408,71.8070652734744,"tilden",NA,668.457371592379
1981,51,915,60021.1363285383,163622.872594621,178.822811578821,65.5968703044134,"tilden",NA,723.973883937236
1982,53,524,33039.8794967501,92757.0917839394,177.017350732709,63.0532051464696,"tilden",NA,410.417632551385
1983,52,619,49894.6750650722,129193.692772858,208.713558599125,80.6052908967241,"tilden",NA,571.636825914245
1984,52,763,57858.0209854878,146650.205322595,192.202103961461,75.8296474252789,"tilden",NA,648.875777842092
1986,65,1065,141626.750880845,283655.988337783,266.343651021393,132.98286467685,"tilden",NA,1255.07836601636
1987,53,960,84107.1477694308,207881.794839439,216.543536291082,87.6116122598238,"tilden",NA,919.804108210603
1988,60,735,39250.5256351232,115685.665662067,157.395463485806,53.4020756940451,"tilden",NA,511.868538653101
1994,43,606,73244.1758913871,159484.11518367,263.175107563812,120.864976718461,"tilden",NA,705.661332458546
1995,34,485,37019.9333493477,102458.800265994,211.255258280399,76.3297594831912,"tilden",NA,453.344293471106
1998,51,845,45866.759507615,137263.375158391,162.44186409277,54.2801887664082,"tilden",NA,607.342343157354
1999,59,869,61838.6216110707,157614.586154609,181.374667611748,71.1606692877684,"tilden",NA,697.389321517533
2000,51,670,72005.594698258,159553.504378039,238.139558773192,107.471036863072,"tilden",NA,705.968355332268
2001,62,804,72026.0210863375,167633.200196074,208.499005218998,89.5846033412158,"tilden",NA,741.718178505868
2002,61,767,65514.4327201616,155082.289830663,202.193337458491,85.4164703000803,"tilden",NA,686.18479750536
2004,66,890,104395.481075824,213225.930352562,239.57969702535,117.298293343622,"tilden",NA,943.450035472301
2005,66,948,117663.034082926,224495.214134714,236.809297610458,124.117124560048,"tilden",NA,993.312667875588
2009,57,656,149353.368392305,227186.727904434,346.321231561638,227.672817671197,"tilden",NA,1005.22167330151
2010,62,843,171928.118356661,287330.735138894,340.843102181368,203.947945856063,"tilden",NA,1271.33783311836
2011,53,493,238466.643951505,286620.104241199,581.379521787422,483.705160145041,"tilden",NA,1268.19354037437
2018,44,364,135781.151212847,190356.953259011,522.95866279948,373.025140694636,"tilden",NA,842.262824261867
1978,5,91,6753,12659.6306772596,139.116820629226,74.2087912087912,"portal_rats",1,132.958389266474
1978.5,6,110,7216,13935.8197632493,126.689270574994,65.6,"portal_rats",2,146.361627449199
1979,4,61,4166,8045.77099634981,131.897885186062,68.2950819672131,"portal_rats",3,84.5011027061928
1979.5,6,75,5351,10100.0686896085,134.667582528114,71.3466666666667,"portal_rats",4,106.076464526198
1980,5,103,6939,13279.2660396848,128.924913006649,67.368932038835,"portal_rats",5,139.466139912675
1980.5,6,96,7191,13431.7428107601,139.913987612084,74.90625,"portal_rats",6,141.067534645235
1981,5,86,5801,11113.5123113138,129.226887340858,67.453488372093,"portal_rats",7,116.720205642308
1981.5,7,101,6047,11889.6407116484,117.719214966816,59.8712871287129,"portal_rats",8,124.87153205958
1982,8,149,7668,15745.0987775231,105.671803875994,51.4630872483221,"portal_rats",9,165.363668630668
1982.5,7,119,6069,12385.6349599789,104.080966050243,51,"portal_rats",10,130.080735868497
1983,7,153,7933,16034.1992592231,104.798687968779,51.8496732026144,"portal_rats",11,168.399960554416
1983.5,6,122,7356,14477.7222168654,118.669854236602,60.2950819672131,"portal_rats",12,152.052984425494
1984,4,52,3091,6134.1060073298,117.963577064035,59.4423076923077,"portal_rats",13,64.4237478261821
1984.5,5,80,3492,7643.9628302635,95.5495353782937,43.65,"portal_rats",14,80.2810928244736
1985,5,58,2260,5101.468367311,87.9563511605345,38.9655172413793,"portal_rats",15,53.5784205956287
1985.5,6,124,6267,13052.6034933279,105.262931397806,50.5403225806452,"portal_rats",16,137.085605453262
1986,7,68,3723,7581.06127461758,111.486195214964,54.75,"portal_rats",17,79.6204661652725
1986.5,6,100,4992,10441.8359815313,104.418359815313,49.92,"portal_rats",18,109.665892195651
1987,7,112,5333,11178.6341665731,99.8092336301171,47.6160714285714,"portal_rats",19,117.4041511066
1987.5,8,114,4977,10597.0376063488,92.9564702311298,43.6578947368421,"portal_rats",20,111.295904837674
1988,8,111,4889,10497.1524384329,94.5689408867826,44.045045045045,"portal_rats",21,110.246855984964
1988.5,8,114,5005,10757.8665046343,94.3672500406519,43.9035087719298,"portal_rats",22,112.985018194034
1989,7,123,4360,9822.60516786391,79.8585786005196,35.4471544715447,"portal_rats",23,103.16239034253
1989.5,7,122,4874,10782.7104242876,88.3828723302265,39.9508196721311,"portal_rats",24,113.245942673142
1990,5,183,8226,17792.4863680423,97.226701464712,44.9508196721311,"portal_rats",25,186.866456759281
1990.5,4,133,5814,12772.3709789311,96.0328645032411,43.7142857142857,"portal_rats",26,134.142449789075
1991,5,130,5472,12110.6427360192,93.1587902770707,42.0923076923077,"portal_rats",27,127.192616610471
1991.5,6,121,4414,9999.34310587094,82.6391992220739,36.4793388429752,"portal_rats",28,105.018589165289
1992,6,114,4742,10501.2268312642,92.116024835651,41.5964912280702,"portal_rats",29,110.289647494598
1992.5,6,112,4319,9555.12013395831,85.3135726246278,38.5625,"portal_rats",30,100.35311571457
1993,7,90,3852,8398.26755795203,93.3140839772448,42.8,"portal_rats",31,88.2032150542875
1993.5,4,73,2783,6247.39570406462,85.5807630693784,38.1232876712329,"portal_rats",32,65.6135783972592
1994,3,90,3774,8380.9704906191,93.1218943402122,41.9333333333333,"portal_rats",33,88.0215517601323
1994.5,2,64,2572,5750.3866987092,89.8497921673312,40.1875,"portal_rats",34,60.393717053145
1995,4,110,4576,10143.9297561979,92.2175432381628,41.6,"portal_rats",35,106.537117519473
1995.5,5,172,6104,13800.6827745681,80.2365277591169,35.4883720930233,"portal_rats",36,144.942344627809
1996,6,168,6017,13590.7339550835,80.8972259231161,35.8154761904762,"portal_rats",37,142.737346900884
1996.5,6,151,5137,11736.2864436128,77.7237512822043,34.0198675496689,"portal_rats",38,123.260921372352
1997,9,249,9250,20879.4181926051,83.853085110864,37.14859437751,"portal_rats",39,219.287108959392
1997.5,6,192,7425,16715.7641941275,87.0612718444142,38.671875,"portal_rats",40,175.558129559155
1998,5,128,5207,11622.9725906056,90.804473364106,40.6796875,"portal_rats",41,122.070837098845
1998.5,6,147,5458,12443.7543741138,84.6513903000938,37.1292517006803,"portal_rats",42,130.691137853001
1999,5,138,5682,12698.3640827438,92.0171310343753,41.1739130434783,"portal_rats",43,133.365188748645
1999.5,4,60,1879,4384.74002795699,73.0790004659498,31.3166666666667,"portal_rats",44,46.0509462188823
2000,4,131,4274,10011.4300255753,76.423129966224,32.6259541984733,"portal_rats",45,105.145532629602
2000.5,4,154,5005,11750.0031200095,76.2987215585035,32.5,"portal_rats",46,123.404981435895
2001,7,121,5017,11108.1711901063,91.8030676868293,41.4628099173554,"portal_rats",47,116.664110256058
2001.5,6,192,6547,15150.9855048889,78.9113828379628,34.0989583333333,"portal_rats",48,159.123964978557
2002,6,192,7453,16749.0938306209,87.2348637011505,38.8177083333333,"portal_rats",49,175.908175693673
